type,left,right,similarity,decision,reason
Company,Dell Technologies Inc.,Dell Technologies,0.8266147375106812,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell Technologies,Dell,0.8211281895637512,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,generative AI capabilities,Generative AI features,0.8083631992340088,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Code Llama,Llama 2,0.7835338115692139,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aeris Communications,Aeris,0.7388352155685425,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell Technologies Inc.,Dell,0.7299387454986572,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,cloud data storage and processing,cloud computing,0.7214928865432739,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Samsung Electronics Co. Ltd.,Samsung,0.7206850647926331,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Manufacturing Data Cloud,cloud data storage and processing,0.6998423337936401,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Open-source language model,Large Language Models,0.6778256893157959,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Microsoft Copilot for Windows,Copilot,0.6547936201095581,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Dell NativeEdge,NativeEdge,0.6242111325263977,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Apex Cloud Platforms,cloud computing,0.6230112314224243,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Manufacturing Data Cloud,cloud computing,0.6173902750015259,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Now Assist for Virtual Agent,Now Assist,0.6047680377960205,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Microsoft,Salesforce,0.5984048247337341,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,generative AI capabilities,ServiceNow Generative AI Controller,0.5854616165161133,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell,Intel,0.5769641995429993,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell Technologies Inc.,Samsung Electronics Co. Ltd.,0.5648041367530823,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Hewlett Packard Enterprise,Dell,0.564781904220581,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Hewlett Packard Enterprise,IBM,0.5633183717727661,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell Technologies Inc.,Hewlett Packard Enterprise,0.5584795475006104,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Microsoft,IBM,0.5542213320732117,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Samsung,Dell,0.5514501333236694,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Apex Cloud Platforms,cloud data storage and processing,0.5494188070297241,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Microsoft,Adobe,0.5452355146408081,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,AMD,Intel,0.5434036254882812,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,H2O AI Cloud,cloud computing,0.5381733179092407,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Generative AI features,ServiceNow Generative AI Controller,0.5360735058784485,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,IBM,Intel,0.535422682762146,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Technology Innovative Institute,Dell Technologies Inc.,0.5317458510398865,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell Technologies,Hewlett Packard Enterprise,0.52365642786026,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Dell Technologies,Intel,0.519280731678009,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Artificial intelligence,Generative AI features,0.5177850723266602,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Microsoft Azure,cloud computing,0.5166369676589966,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Artificial intelligence,generative AI capabilities,0.5140432119369507,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Salesforce,Samsung,0.5095153450965881,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,H2O AI Cloud,Connected Vehicle Cloud,0.4993354082107544,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Microsoft,Dell,0.4979114532470703,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Apex Cloud Platforms,Manufacturing Data Cloud,0.4871780574321747,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Connected Vehicle Cloud,cloud computing,0.4853979647159576,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,analog and logic semiconductor technologies,chip-stacking tech,0.4817781150341034,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,AMD,NVIDIA,0.4729637503623962,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Technology Innovative Institute,Dell Technologies,0.4716224670410156,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Falcon LLM,Llama 2,0.470905601978302,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,IBM,Dell,0.4700697064399719,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,chips,chip-stacking tech,0.4697401523590088,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Meta,Snowflake,0.4695900082588196,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Salesforce,IBM,0.458833783864975,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Falcon LLM,Code Llama,0.4568661153316498,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Salesforce,Google Cloud,0.45393106341362,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Samsung,Intel,0.4505923092365265,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,AMD,Dell,0.4439475238323211,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,ChatGPT,Copilot,0.4422003626823425,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,H2O AI Cloud,Apex Cloud Platforms,0.4401485323905945,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,H2O AI Cloud,cloud data storage and processing,0.4290880560874939,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Connected Vehicle Cloud,cloud data storage and processing,0.4263643622398376,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,H2O.ai,Intel,0.4239099323749542,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Artificial intelligence,cloud computing,0.4223197102546692,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Samsung Electronics Co. Ltd.,Dell,0.4162691533565521,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,AMD,Hewlett Packard Enterprise,0.4055632650852203,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Technology Innovative Institute,Intel,0.4049938917160034,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Microsoft Azure,Manufacturing Data Cloud,0.3919269442558288,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Aqara,Aeris,0.3871316015720367,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Sensor OLED Display,organic photodiode,0.3856304287910461,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,Microsoft Azure,cloud data storage and processing,0.381176620721817,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Google Cloud,ServiceNow,0.3741197884082794,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Company,Adobe,Intel,0.364487886428833,REJECT_GUARD,COSINE_BELOW_THRESHOLD
Technology,IoT Accelerator,chip-stacking tech,0.3567774295806885,REJECT_GUARD,COSINE_BELOW_THRESHOLD
