Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,3.5,3.591,Hai phương pháp gần nhau.
cross-doc,Faithfulness,3.591,3.909,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,3.5,3.591,Hai phương pháp gần nhau.
cross-doc,Latency (s),3.301,6.312,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,949.364,1116.227,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,4.8,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,4.8,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.668,2.988,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,783.2,840.4,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,3.13,3.478,Hai phương pháp gần nhau.
multi-hop,Faithfulness,3.435,3.739,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.13,3.478,Hai phương pháp gần nhau.
multi-hop,Latency (s),2.932,7.375,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,1014.174,1294.304,Flat RAG thường rẻ/nhanh hơn.
